原序号,日期,时间,扭矩,钻压,转速,温度,倾角,方位角,重力和,磁强,磁倾,电压,深度,FPI,UCS,是否标记
674,2025-04-10,17:52:51,14.00,-19.00,108.00,14.00,57.720,155.780,0.660,41.22,-5.100,12.00,0.00,2221415.500,6833074.00,True
687,2025-04-10,17:53:17,215.00,5820.00,112.00,14.00,57.300,17.830,0.668,42.86,59.820,12.00,0.03,2221415.500,6833074.00,False
699,2025-04-10,17:53:41,280.00,7020.00,115.00,14.00,56.130,94.310,0.670,43.26,35.070,12.00,0.05,2221415.500,6833074.00,False
700,2025-04-10,17:53:43,337.00,9400.00,108.00,14.00,60.500,94.330,0.644,44.37,33.610,12.00,0.08,2221415.500,6833074.00,False
701,2025-04-10,17:53:45,294.00,8189.00,109.00,14.00,52.070,107.840,0.708,43.86,27.570,12.00,0.10,2221415.500,6833074.00,False
702,2025-04-10,17:53:47,301.00,8649.00,112.00,14.00,51.570,133.840,0.711,44.38,8.060,12.00,0.13,2221415.500,6833074.00,False
703,2025-04-10,17:53:49,290.00,10913.00,110.00,14.00,58.230,145.380,0.657,45.04,7.210,12.00,0.16,2221415.500,6833074.00,False
704,2025-04-10,17:53:51,337.00,10729.00,109.00,14.00,59.760,143.410,0.642,44.50,10.130,12.00,0.18,2221415.500,6833074.00,False
705,2025-04-10,17:53:53,308.00,10468.00,108.00,14.00,49.070,161.460,0.732,45.04,-5.330,12.00,0.21,1514491.125,4658574.50,False
706,2025-04-10,17:53:55,355.00,10300.00,111.00,14.00,59.210,2.560,0.647,45.23,64.160,12.00,0.23,1514491.125,4658574.50,False
707,2025-04-10,17:53:57,330.00,10519.00,102.00,14.00,50.740,58.150,0.720,44.75,64.950,12.00,0.26,1514491.125,4658574.50,False
708,2025-04-10,17:53:59,294.00,11190.00,111.00,14.00,53.790,89.430,0.690,45.47,43.720,12.00,0.28,1514491.125,4658574.50,False
709,2025-04-10,17:54:01,290.00,11835.00,110.00,14.00,60.240,91.920,0.640,44.93,39.170,12.00,0.31,1514491.125,4658574.50,False
710,2025-04-10,17:54:03,254.00,11553.00,66.00,14.00,57.320,94.590,0.661,45.30,38.770,12.00,0.34,1514491.125,4658574.50,False
711,2025-04-10,17:54:05,254.00,10818.00,110.00,14.00,50.140,118.130,0.727,45.73,20.990,12.00,0.36,1514491.125,4658574.50,False
712,2025-04-10,17:54:07,290.00,11210.00,110.00,14.00,55.880,138.300,0.673,44.92,10.930,12.00,0.39,1514491.125,4658574.50,False
713,2025-04-10,17:54:09,262.00,11231.00,107.00,14.00,60.330,141.550,0.641,45.83,12.040,12.00,0.41,1621045.500,4986336.00,False
714,2025-04-10,17:54:11,283.00,10297.00,110.00,14.00,55.680,144.460,0.675,45.59,7.600,12.00,0.44,1621045.500,4986336.00,False
715,2025-04-10,17:54:13,276.00,10759.00,111.00,14.00,49.290,171.220,0.735,45.20,-5.460,12.00,0.47,1621045.500,4986336.00,False
716,2025-04-10,17:54:15,272.00,10826.00,109.00,14.00,56.440,-295.400,0.669,46.13,67.670,12.00,0.49,1621045.500,4986336.00,False
717,2025-04-10,17:54:17,233.00,10861.00,84.00,14.00,49.300,74.060,0.735,45.36,60.550,12.00,0.52,1621045.500,4986336.00,False
718,2025-04-10,17:54:19,308.00,12265.00,110.00,14.00,57.170,86.180,0.663,45.67,45.020,12.00,0.54,1621045.500,4986336.00,False
719,2025-04-10,17:54:21,330.00,14348.00,105.00,14.00,60.460,90.280,0.639,46.16,40.320,12.00,0.57,1621045.500,4986336.00,False
720,2025-04-10,17:54:23,380.00,14300.00,80.00,14.00,53.100,99.300,0.694,45.42,38.840,12.00,0.59,1621045.500,4986336.00,False
721,2025-04-10,17:54:25,348.00,14278.00,109.00,14.00,50.120,126.420,0.724,46.07,15.350,12.00,0.62,2293661.500,7055302.50,False
722,2025-04-10,17:54:27,337.00,15183.00,109.00,14.00,58.100,136.930,0.653,46.10,13.320,12.00,0.65,2293661.500,7055302.50,False
723,2025-04-10,17:54:29,351.00,14774.00,107.00,14.00,61.320,141.880,0.633,45.78,14.090,12.00,0.67,2293661.500,7055302.50,False
726,2025-04-10,17:54:35,395.00,16110.00,104.00,14.00,53.440,16.090,0.697,48.81,68.990,12.00,0.70,2293661.500,7055302.50,False
727,2025-04-10,17:54:37,373.00,15059.00,64.00,14.00,49.720,83.690,0.727,45.85,54.730,12.00,0.72,2293661.500,7055302.50,False
728,2025-04-10,17:54:39,369.00,14345.00,110.00,14.00,57.850,89.270,0.655,45.80,44.030,12.00,0.75,2293661.500,7055302.50,False
729,2025-04-10,17:54:41,402.00,15522.00,99.00,14.00,60.380,90.980,0.638,46.78,40.890,12.00,0.78,2293661.500,7055302.50,False
730,2025-04-10,17:54:43,377.00,15367.00,94.00,14.00,50.740,109.100,0.717,46.16,31.940,12.00,0.80,2062126.750,6343102.00,False
731,2025-04-10,17:54:45,380.00,13987.00,103.00,14.00,52.980,131.460,0.696,46.05,14.720,12.00,0.83,2062126.750,6343102.00,False
732,2025-04-10,17:54:47,369.00,16298.00,108.00,14.00,59.770,139.400,0.642,47.14,13.880,12.00,0.85,2062126.750,6343102.00,False
733,2025-04-10,17:54:49,405.00,15033.00,98.00,14.00,57.210,137.760,0.660,46.15,14.080,12.00,0.88,2062126.750,6343102.00,False
734,2025-04-10,17:54:51,326.00,14431.00,106.00,14.00,48.910,159.070,0.738,46.56,-1.860,12.00,0.91,2062126.750,6343102.00,False
735,2025-04-10,17:54:53,384.00,15123.00,107.00,14.00,53.780,182.890,0.689,47.13,-0.330,12.00,0.93,2062126.750,6343102.00,False
736,2025-04-10,17:54:55,377.00,15804.00,105.00,14.00,48.890,58.400,0.738,46.23,70.940,12.00,0.96,2062126.750,6343102.00,False
737,2025-04-10,17:54:57,351.00,15086.00,83.00,14.00,56.070,83.760,0.670,47.01,49.440,12.00,0.98,2062126.750,6343102.00,False
738,2025-04-10,17:54:59,441.00,14925.00,109.00,14.00,59.980,85.720,0.642,47.00,45.780,12.00,1.01,1939566.875,5966107.50,False
739,2025-04-10,17:55:01,405.00,16159.00,75.00,15.00,54.540,91.970,0.684,46.62,46.280,12.00,1.03,1939566.875,5966107.50,False
740,2025-04-10,17:55:03,348.00,14778.00,108.00,15.00,49.800,119.220,0.728,47.33,23.620,12.00,1.06,1939566.875,5966107.50,False
741,2025-04-10,17:55:05,395.00,14656.00,95.00,15.00,57.810,135.910,0.657,46.78,16.180,12.00,1.09,1939566.875,5966107.50,False
742,2025-04-10,17:55:07,402.00,16069.00,108.00,14.00,61.500,134.230,0.633,47.05,19.250,12.00,1.11,1939566.875,5966107.50,False
743,2025-04-10,17:55:09,380.00,14425.00,105.00,14.00,51.780,144.290,0.709,47.39,7.540,12.00,1.14,1939566.875,5966107.50,False
744,2025-04-10,17:55:11,412.00,13383.00,75.00,15.00,51.810,175.280,0.708,46.72,-0.430,12.00,1.16,1939566.875,5966107.50,False
745,2025-04-10,17:55:13,441.00,15160.00,105.00,15.00,59.170,186.940,0.648,47.51,6.660,12.00,1.19,1939566.875,5966107.50,False
746,2025-04-10,17:55:15,395.00,14750.00,97.00,15.00,51.960,79.040,0.706,47.35,58.320,12.00,1.22,1929067.500,5933811.50,False
747,2025-04-10,17:55:17,373.00,13058.00,104.00,15.00,58.730,85.620,0.651,47.17,48.250,12.00,1.24,1929067.500,5933811.50,False
748,2025-04-10,17:55:19,409.00,15138.00,101.00,15.00,60.520,76.580,0.640,48.05,51.000,12.00,1.27,1929067.500,5933811.50,False
749,2025-04-10,17:55:21,366.00,14490.00,109.00,15.00,49.770,110.090,0.729,47.38,34.370,12.00,1.29,1929067.500,5933811.50,False
750,2025-04-10,17:55:23,369.00,13923.00,94.00,15.00,53.950,128.570,0.691,47.24,19.580,12.00,1.32,1929067.500,5933811.50,False
751,2025-04-10,17:55:25,470.00,14920.00,104.00,15.00,60.300,131.080,0.642,48.12,20.530,12.00,1.34,1929067.500,5933811.50,False
752,2025-04-10,17:55:27,373.00,15121.00,102.00,15.00,55.150,139.260,0.679,47.37,14.280,12.00,1.37,1929067.500,5933811.50,False
753,2025-04-10,17:55:29,380.00,12252.00,85.00,15.00,50.350,156.820,0.727,47.57,2.470,12.00,1.40,1929067.500,5933811.50,False
754,2025-04-10,17:55:31,495.00,14200.00,103.00,15.00,55.600,180.720,0.674,48.64,3.190,12.00,1.42,21413620.000,65868296.00,False
755,2025-04-10,17:55:33,434.00,13325.00,105.00,15.00,50.320,59.480,0.719,47.68,71.550,12.00,1.45,21413620.000,65868296.00,False
840,2025-04-10,17:58:24,470.00,13326.00,110.00,14.00,61.220,126.800,0.638,48.13,25.150,12.00,1.47,21413620.000,65868296.00,False
841,2025-04-10,17:58:26,560.00,13540.00,106.00,14.00,49.550,147.730,0.735,48.91,6.140,12.00,1.50,21413620.000,65868296.00,True
842,2025-04-10,17:58:28,538.00,14318.00,111.00,14.00,54.020,175.040,0.691,48.55,3.590,12.00,1.53,21413620.000,65868296.00,False
843,2025-04-10,17:58:30,509.00,12963.00,110.00,14.00,62.600,183.690,0.627,48.71,12.370,12.00,1.56,21413620.000,65868296.00,False
844,2025-04-10,17:58:32,542.00,14360.00,108.00,14.00,54.640,72.870,0.685,49.13,61.510,12.00,1.60,21413620.000,65868296.00,False
845,2025-04-10,17:58:34,499.00,12383.00,112.00,14.00,63.470,74.790,0.622,48.94,52.700,12.00,1.63,1442839.000,4438172.50,False
846,2025-04-10,17:58:36,495.00,12903.00,109.00,14.00,52.980,83.780,0.698,48.95,58.370,12.00,1.66,1442839.000,4438172.50,False
847,2025-04-10,17:58:38,545.00,13824.00,109.00,14.00,48.960,114.860,0.741,49.72,32.270,12.00,1.69,1442839.000,4438172.50,False
848,2025-04-10,17:58:40,517.00,12407.00,110.00,14.00,57.720,126.870,0.659,49.13,24.760,12.00,1.72,1442839.000,4438172.50,False
849,2025-04-10,17:58:42,495.00,13466.00,111.00,14.00,60.630,118.130,0.639,49.40,30.820,12.00,1.76,1442839.000,4438172.50,False
850,2025-04-10,17:58:44,556.00,12654.00,112.00,14.00,49.440,138.300,0.736,49.83,12.750,12.00,1.79,1442839.000,4438172.50,False
851,2025-04-10,17:58:46,301.00,8633.00,112.00,14.00,52.710,161.200,0.699,48.94,5.970,12.00,1.82,1836207.625,5648174.50,False
855,2025-04-10,17:58:54,549.00,12554.00,104.00,14.00,59.360,89.520,0.656,51.71,46.230,12.00,1.85,1836207.625,5648174.50,False
856,2025-04-10,17:58:56,470.00,13732.00,109.00,14.00,51.540,87.810,0.712,49.32,58.060,12.00,1.88,1836207.625,5648174.50,False
857,2025-04-10,17:58:58,495.00,13575.00,110.00,14.00,50.020,116.740,0.727,49.99,31.180,12.00,1.91,1836207.625,5648174.50,False
858,2025-04-10,17:59:00,491.00,13252.00,110.00,15.00,55.690,130.230,0.674,49.58,22.180,12.00,1.95,1836207.625,5648174.50,False
859,2025-04-10,17:59:02,524.00,13039.00,110.00,14.00,61.490,119.490,0.634,49.54,30.830,12.00,1.98,1836207.625,5648174.50,False
860,2025-04-10,17:59:04,495.00,13372.00,111.00,15.00,50.030,142.460,0.726,50.01,11.080,12.00,2.01,1504419.125,4627593.00,False
861,2025-04-10,17:59:06,535.00,12712.00,110.00,15.00,51.500,163.310,0.706,49.50,4.220,12.00,2.04,1504419.125,4627593.00,False
862,2025-04-10,17:59:08,441.00,14472.00,113.00,14.00,60.290,178.300,0.638,49.91,10.840,12.00,2.07,1504419.125,4627593.00,False
863,2025-04-10,17:59:10,423.00,13651.00,108.00,15.00,51.740,64.170,0.708,50.10,70.310,12.00,2.11,1504419.125,4627593.00,False
864,2025-04-10,17:59:12,398.00,13495.00,111.00,14.00,61.120,71.380,0.635,49.63,57.290,12.00,2.14,1504419.125,4627593.00,False
865,2025-04-10,17:59:14,427.00,13303.00,108.00,15.00,53.750,75.370,0.687,50.26,62.710,12.00,2.17,1504419.125,4627593.00,False
866,2025-04-10,17:59:16,448.00,13306.00,105.00,14.00,49.850,106.140,0.728,50.08,42.910,12.00,2.20,2225494.500,6845621.00,False
867,2025-04-10,17:59:18,470.00,11185.00,112.00,15.00,54.770,123.210,0.681,49.62,27.660,12.00,2.23,2225494.500,6845621.00,False
868,2025-04-10,17:59:20,502.00,12113.00,108.00,15.00,63.280,117.620,0.622,50.47,31.860,12.00,2.27,2225494.500,6845621.00,False
869,2025-04-10,17:59:22,438.00,12132.00,109.00,15.00,51.040,131.060,0.713,50.06,20.050,12.00,2.30,2225494.500,6845621.00,False
870,2025-04-10,17:59:24,420.00,10983.00,110.00,15.00,49.910,154.060,0.723,49.59,6.280,12.00,2.33,2225494.500,6845621.00,False
874,2025-04-10,17:59:33,373.00,11965.00,104.00,15.00,54.120,63.650,0.691,52.02,65.660,12.00,2.36,2225494.500,6845621.00,False
875,2025-04-10,17:59:35,567.00,12937.00,110.00,15.00,50.240,100.450,0.717,50.41,48.370,12.00,2.39,2225494.500,6845621.00,False
876,2025-04-10,17:59:37,495.00,13075.00,111.00,15.00,58.770,116.570,0.648,50.11,32.330,12.00,2.43,1482940.250,4561524.00,False
877,2025-04-10,17:59:39,553.00,13362.00,110.00,15.00,59.540,96.330,0.642,50.35,45.340,12.00,2.46,1482940.250,4561524.00,False
878,2025-04-10,17:59:41,481.00,14312.00,109.00,15.00,50.560,126.470,0.717,50.44,23.190,12.00,2.49,1482940.250,4561524.00,False
879,2025-04-10,17:59:43,506.00,13093.00,112.00,15.00,51.140,145.430,0.715,49.85,11.060,12.00,2.52,1482940.250,4561524.00,False
880,2025-04-10,17:59:45,495.00,13466.00,108.00,15.00,62.460,156.580,0.621,50.67,15.730,12.00,2.55,1482940.250,4561524.00,False
881,2025-04-10,17:59:47,366.00,12818.00,107.00,15.00,53.680,150.860,0.688,50.39,10.310,12.00,2.59,1482940.250,4561524.00,False
882,2025-04-10,17:59:49,427.00,12552.00,111.00,15.00,48.830,176.480,0.733,49.81,0.040,12.00,2.62,2009861.375,6182333.50,False
883,2025-04-10,17:59:51,499.00,12508.00,110.00,15.00,53.160,27.310,0.692,50.70,76.070,12.00,2.65,2009861.375,6182333.50,False
884,2025-04-10,17:59:53,448.00,12087.00,108.00,15.00,49.410,84.000,0.727,50.39,64.180,12.00,2.68,2009861.375,6182333.50,False
888,2025-04-10,18:00:01,491.00,12673.00,107.00,15.00,50.660,126.600,0.716,50.32,23.450,12.00,2.71,2009861.375,6182333.50,False
889,2025-04-10,18:00:03,448.00,11603.00,113.00,15.00,50.730,148.260,0.715,50.04,9.130,12.00,2.74,2009861.375,6182333.50,False
890,2025-04-10,18:00:05,524.00,12773.00,108.00,15.00,60.490,165.460,0.635,50.78,11.980,12.00,2.78,2009861.375,6182333.50,False
891,2025-04-10,18:00:07,477.00,13692.00,108.00,15.00,56.430,152.450,0.664,50.36,12.030,12.00,2.81,33537556.000,103161520.00,False
