序号,杆长,平均倾角,平均磁方位角,E位移,N位移,垂深,X坐标,侧向偏移,H值
1,0.00,34.040,81.530,0.000,0.000,0.000,0.000,0.000,0.000
2,1.50,33.945,92.495,1.243,-0.054,1.244,1.243,0.054,1.244
3,3.00,33.590,103.330,2.459,-0.342,2.494,2.459,0.342,2.494
4,4.50,33.020,103.145,3.684,-0.628,3.752,3.684,0.628,3.752
5,6.00,32.255,103.190,4.919,-0.918,5.020,4.919,0.918,5.020
6,7.50,31.635,103.355,6.161,-1.213,6.297,6.161,1.213,6.297
7,9.00,31.115,103.310,7.411,-1.508,7.581,7.411,1.508,7.581
8,10.50,30.720,104.060,8.662,-1.822,8.871,8.662,1.822,8.871
9,12.00,30.585,104.720,9.911,-2.150,10.162,9.911,2.150,10.162
10,13.50,29.955,104.950,11.167,-2.485,11.462,11.167,2.485,11.462
11,15.00,28.830,103.645,12.444,-2.795,12.776,12.444,2.795,12.776
12,16.50,27.855,101.640,13.743,-3.063,14.102,13.743,3.063,14.102
13,18.00,27.075,101.005,15.054,-3.318,15.438,15.054,3.318,15.438
14,19.50,26.235,174.745,15.177,-4.657,16.783,15.177,4.657,16.783
15,21.00,25.440,174.075,15.317,-6.005,18.138,15.317,6.005,18.138
16,22.50,24.640,100.365,16.658,-6.250,19.501,16.658,6.250,19.501
17,24.00,24.225,100.635,18.002,-6.502,20.869,18.002,6.502,20.869
18,25.50,24.110,99.780,19.351,-6.735,22.238,19.351,6.735,22.238
19,27.00,23.640,99.520,20.707,-6.962,23.612,20.707,6.962,23.612
20,28.50,22.855,99.920,22.068,-7.200,24.995,22.068,7.200,24.995
21,30.00,22.035,99.575,23.439,-7.432,26.385,23.439,7.432,26.385
22,31.50,21.330,98.420,24.821,-7.636,27.782,24.821,7.636,27.782
23,33.00,20.575,98.310,26.211,-7.839,29.187,26.211,7.839,29.187
24,34.50,19.785,98.100,27.608,-8.038,30.598,27.608,8.038,30.598
25,36.00,18.860,97.745,29.015,-8.229,32.018,29.015,8.229,32.018
26,37.50,17.865,97.495,30.430,-8.416,33.445,30.430,8.416,33.445
27,39.00,17.430,97.565,31.849,-8.604,34.876,31.849,8.604,34.876
28,40.50,17.015,98.230,33.269,-8.809,36.311,33.269,8.809,36.311
29,42.00,16.210,97.520,34.697,-8.998,37.751,34.697,8.998,37.751
30,43.50,15.685,96.510,36.131,-9.162,39.195,36.131,9.162,39.195
31,45.00,15.365,97.225,37.566,-9.344,40.642,37.566,9.344,40.642
32,46.50,14.800,96.660,39.007,-9.512,42.092,39.007,9.512,42.092
33,48.00,14.275,96.095,40.452,-9.666,43.546,40.452,9.666,43.546
34,49.50,13.745,95.880,41.902,-9.815,45.003,41.902,9.815,45.003
35,51.00,13.010,94.935,43.358,-9.941,46.464,43.358,9.941,46.464
36,52.50,12.130,95.555,44.817,-10.083,47.931,44.817,10.083,47.931
37,54.00,11.420,95.250,46.281,-10.218,49.401,46.281,10.218,49.401
38,55.50,10.960,94.105,47.750,-10.323,50.874,47.750,10.323,50.874
39,57.00,10.580,94.600,49.220,-10.441,52.348,49.220,10.441,52.348
