序号,标记时间,倾角,方位角,重力和
1,2025-04-10 17:52:51,34.040,81.530,0.998
2,2025-04-10 17:58:26,33.850,103.460,0.998
3,2025-04-10 18:05:00,33.330,103.200,0.998
4,2025-04-10 18:09:42,32.710,103.090,0.999
5,2025-04-10 18:23:18,31.800,103.290,0.998
6,2025-04-10 18:29:56,31.470,103.420,0.999
7,2025-04-10 18:36:03,30.760,103.200,0.998
8,2025-04-10 18:51:45,30.680,104.920,1.000
9,2025-04-10 18:59:03,30.490,104.520,0.999
10,2025-04-10 19:05:37,29.420,105.380,1.000
11,2025-04-10 19:11:34,28.240,101.910,1.000
12,2025-04-10 19:17:40,27.470,101.370,0.999
13,2025-04-10 19:23:05,26.680,100.640,0.999
14,2025-04-10 19:29:27,25.790,248.850,0.999
15,2025-04-10 19:36:16,25.090,99.300,1.000
16,2025-04-10 19:43:02,24.190,101.430,1.000
17,2025-04-10 19:52:50,24.260,99.840,0.999
18,2025-04-10 20:03:27,23.960,99.720,0.999
19,2025-04-10 20:11:01,23.320,99.320,0.999
20,2025-04-10 20:17:48,22.390,100.520,1.000
21,2025-04-10 20:24:30,21.680,98.630,1.000
22,2025-04-10 20:31:44,20.980,98.210,0.999
23,2025-04-10 20:38:11,20.170,98.410,0.998
24,2025-04-10 20:45:31,19.400,97.790,0.999
25,2025-04-10 20:54:05,18.320,97.700,0.998
26,2025-04-10 21:00:27,17.410,97.290,0.999
27,2025-04-12 19:53:48,17.450,97.840,0.998
28,2025-04-12 20:04:16,16.580,98.620,0.999
29,2025-04-12 20:12:39,15.840,96.420,0.999
30,2025-04-12 20:19:55,15.530,96.600,0.998
31,2025-04-12 20:25:25,15.200,97.850,0.999
32,2025-04-12 20:32:29,14.400,95.470,1.000
33,2025-04-12 20:40:04,14.150,96.720,1.000
34,2025-04-12 20:47:32,13.340,95.040,0.999
35,2025-04-12 20:55:21,12.680,94.830,0.999
36,2025-04-12 21:03:04,11.580,96.280,0.998
37,2025-04-12 21:14:46,11.260,94.220,0.999
38,2025-04-12 21:23:04,10.660,93.990,0.999
39,2025-04-12 21:28:49,10.500,95.210,0.999
